domain,file,line,symbol,current_type,target_type,classification,evidence,migration_required,risk
backend-conversion,backend/app/accounting/aging.py,14,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",code-change,critical
raw-sql,backend/app/accounting/aging.py,14,return,FLOAT,Explicit numeric policy required,numeric-review,"return float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",yes,review
backend-conversion,backend/app/accounting/approvals.py,144,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(voucher[""total_debit""] or 0)",code-change,critical
backend-conversion,backend/app/accounting/bank_reconciliation.py,15,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",code-change,critical
raw-sql,backend/app/accounting/bank_reconciliation.py,15,return,FLOAT,Explicit numeric policy required,numeric-review,"return float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",yes,review
backend-python,backend/app/accounting/bank_reconciliation.py,24,opening_balance,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,opening_balance: float = 0,yes,critical
backend-python,backend/app/accounting/bank_reconciliation.py,31,amount,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,amount: float,yes,critical
raw-sql,backend/app/accounting/bank_reconciliation.py,47,opening_balance,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"opening_balance FLOAT NOT NULL DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/bank_reconciliation.py,59,amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount FLOAT NOT NULL,",yes,critical
backend-conversion,backend/app/accounting/budgets.py,15,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",code-change,critical
raw-sql,backend/app/accounting/budgets.py,15,return,FLOAT,Explicit numeric policy required,numeric-review,"return float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",yes,review
backend-python,backend/app/accounting/budgets.py,27,amount,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,amount: float,yes,critical
raw-sql,backend/app/accounting/budgets.py,73,amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount FLOAT NOT NULL,",yes,critical
backend-conversion,backend/app/accounting/closing.py,86,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(debit),code-change,critical
backend-conversion,backend/app/accounting/closing.py,87,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(credit),code-change,critical
backend-conversion,backend/app/accounting/closing.py,94,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(balance),code-change,critical
backend-conversion,backend/app/accounting/closing.py,95,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(debit),code-change,critical
backend-conversion,backend/app/accounting/closing.py,96,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(credit),code-change,critical
backend-conversion,backend/app/accounting/closing.py,106,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(difference),code-change,review
backend-conversion,backend/app/accounting/closing.py,114,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(loss),code-change,critical
backend-conversion,backend/app/accounting/closing.py,130,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(net_income),code-change,critical
backend-conversion,backend/app/accounting/closing.py,131,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(closing_debit),code-change,critical
backend-conversion,backend/app/accounting/closing.py,132,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(closing_credit),code-change,critical
backend-conversion,backend/app/accounting/currencies.py,16,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",code-change,critical
raw-sql,backend/app/accounting/currencies.py,16,return,FLOAT,Explicit numeric policy required,numeric-review,"return float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",yes,review
backend-conversion,backend/app/accounting/currencies.py,20,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(Decimal(str(value or 0)).quantize(RATE_STEP, rounding=ROUND_HALF_UP))",code-change,critical
raw-sql,backend/app/accounting/currencies.py,20,return,FLOAT,Explicit numeric policy required,numeric-review,"return float(Decimal(str(value or 0)).quantize(RATE_STEP, rounding=ROUND_HALF_UP))",yes,review
backend-python,backend/app/accounting/currencies.py,33,rate_to_base,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,rate_to_base: float,yes,critical
raw-sql,backend/app/accounting/currencies.py,62,rate_to_base,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"rate_to_base FLOAT NOT NULL,",yes,critical
raw-sql,backend/app/accounting/currencies.py,85,foreign_amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"_ensure_column(conn, ""accounting_voucher_lines"", ""foreign_amount"", ""foreign_amount FLOAT"")",yes,critical
raw-sql,backend/app/accounting/currencies.py,86,exchange_rate,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"_ensure_column(conn, ""accounting_voucher_lines"", ""exchange_rate"", ""exchange_rate FLOAT"")",yes,critical
backend-python,backend/app/accounting/entries_router.py,45,debit,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,debit: float = 0,yes,critical
backend-python,backend/app/accounting/entries_router.py,46,credit,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,credit: float = 0,yes,critical
backend-python,backend/app/accounting/entries_router.py,50,foreign_amount,Optional[float],"Decimal / NUMERIC(precision, scale)",money-or-rate,foreign_amount: Optional[float] = None,yes,critical
backend-python,backend/app/accounting/entries_router.py,51,exchange_rate,Optional[float],"Decimal / NUMERIC(precision, scale)",money-or-rate,exchange_rate: Optional[float] = None,yes,critical
raw-sql,backend/app/accounting/entries_router.py,109,total_debit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"total_debit FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/entries_router.py,110,total_credit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"total_credit FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/entries_router.py,126,debit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"debit FLOAT DEFAULT 0,",yes,critical
